%time,field.left_wheel,field.right_wheel
1304221344347233057,3.82921695709,3.82921695709
1304221344388050079,3.68395042419,3.68395042419
1304221344428085088,3.9273045063,3.77021217346
1304221344468189001,3.76770830154,3.76770830154
1304221344508038043,3.77116703987,3.61403512955
1304221344548010110,3.77327561378,3.77327561378
1304221344588216066,3.92273879051,3.76582932472
1304221344628114938,3.61031389236,3.76728415489
1304221344668092966,3.93057513237,3.77335214615
1304221344707240104,3.86277484894,3.86277484894
1304221344748230934,3.67353534698,3.67353534698
1304221344792193889,3.85823869705,3.71534085274
1304221344831305027,3.86426854134,3.86426854134
1304221344867132902,3.84191012383,3.66727781296
1304221344907306909,3.61364483833,3.77075982094
1304221344947114944,3.77079057693,3.77079057693
1304221344987157106,3.77100324631,3.77100324631
1304221345027117013,3.76949739456,3.61243486404
1304221345067162990,3.7716460228,3.7716460228
1304221345115374088,3.38882350922,3.5191628933
1304221345155421972,3.9273827076,3.77028727531
1304221345195400953,3.76648616791,3.76648616791
1304221345231509923,4.18779325485,4.3622841835
1304221345267432928,3.84249019623,3.84249019623
1304221345307420969,3.77082943916,3.92794728279
1304221345347453117,3.92811799049,3.92811799049
1304221345387449026,3.77029466629,3.77029466629
1304221345427090883,3.94496488571,3.78716635704
1304221345467367887,3.5982208252,3.75466537476
1304221345507406949,3.76811909676,3.76811909676
1304221345547348976,3.77214384079,3.61497116089
1304221345587404966,3.92467093468,3.92467093468
1304221345627355098,3.76971197128,3.76971197128
1304221345667376041,3.6131541729,3.77024793625
1304221345707410097,3.76992464066,3.76992464066
1304221345747344017,3.77267432213,3.77267432213
1304221345787385940,3.7661948204,3.7661948204
1304221345835469007,3.40102577209,3.53183460236
1304221345871546983,4.18032360077,4.18032360077
1304221345911511898,3.62296938896,3.78048992157
1304221345947377920,3.8438642025,3.66914319992
1304221345987446069,3.76620101929,3.76620101929
1304221346027348995,3.61530089378,3.7724878788
1304221346067384004,3.77062797546,3.77062797546
1304221346107314109,3.76927042007,3.76927042007
1304221346147455930,3.60952877998,3.76646494865
1304221346187438011,3.77155208588,3.61440420151
1304221346227401971,3.76898932457,3.76898932457
1304221346267450094,3.76889848709,3.92593598366
1304221346307358980,3.61733078957,3.77460598946
1304221346351382017,3.42395472527,3.85194897652
1304221346387444019,4.18902826309,3.66539978981
1304221346427407979,3.61314702034,3.77024030685
1304221346467444896,3.76980209351,3.76980209351
1304221346507447004,3.76962518692,3.76962518692
1304221346547439098,3.61357855797,3.77069067955
1304221346587466955,3.92426156998,3.76729106903
1304221346627448081,3.77071785927,3.77071785927
